idKldi|kldi
D5|Kab. Aceh Barat
D50|Kab. Tangerang
D500|Kab. Tapanuli Utara
D501|Kota Tanjung Balai
D502|Kota Medan
D503|Kab. Asahan
D504|Kab. Batu Bara
D505|Kab. Dairi
D506|Kab. Deli Serdang
D507|Kab. Humbang Hasundutan
D508|Kab. Labuhanbatu Selatan
D509|Kab. Mandailing Natal
D51|Kab. Pandeglang
D510|Kab. Nias Selatan
D511|Kab. Padang Lawas
D512|Kab. Pakpak Bharat
D513|Kab. Samosir
D514|Kota Padangsidimpuan
D515|Kota Pematangsiantar
D516|Kota Tebing Tinggi
D517|Kota Binjai
D518|Kab. Serdang Bedagai
D519|Kab. Langkat
D52|Provinsi Bengkulu
D520|Kab. Toba
D521|Kab. Karo
D522|Kab. Simalungun
D523|Kab. Nias Barat
D524|Kab. Tapanuli Tengah
D525|Kab. Labuhanbatu Utara
D526|Kota Gunungsitoli
D527|Kab. Nias
D528|Kab. Nias Utara
D529|Kab. Tapanuli Selatan
D53|Kab. Bengkulu Utara
D530|Kab. Padang Lawas Utara
D531|Kota Sibolga
D532|Kab. Bolaang Mongondow Selatan
D533|Provinsi Kalimantan Utara
D534|Kab. Mahakam Ulu
D535|Kab. Malaka
D536|Kab. Pangandaran
D537|Kab. Kolaka Timur
D538|Kab. Konawe Kepulauan
D539|Kab. Pesisir Barat
D54|Kab. Lebong
D540|Kab. Musi Rawas Utara
D541|Kab. Morowali Utara
D542|Kab. Pulau Morotai
D543|Kab. Muna Barat
D544|Kab. Manokwari Selatan
D545|Kab. Pegunungan Arfak
D546|Kab. Pulau Taliabu
D547|Kab. Mamuju Tengah
D548|Kab. Buton Tengah
D549|Kab. Buton Selatan
D55|Kota Bengkulu
D550|Kab. Nduga
D551|Kab. Banggai Laut
D552|Kab. Mempawah
D56|Kab. Bengkulu Selatan
D57|Kab. Muko Muko
D58|Kab. Kepahiang
D59|Kab. Rejang Lebong
D6|Kab. Aceh Tengah
D60|Kab. Bengkulu Tengah
D61|Kab. Kaur
D62|Kab. Seluma
D63|Provinsi DI Yogyakarta
D64|Kota Yogyakarta
D65|Kab. Gunungkidul
D66|Kab. Kulon Progo
D67|Kab. Sleman
D68|Kab. Bantul
D69|Provinsi DKI Jakarta
D7|Kota Sabang
D76|Provinsi Gorontalo
D77|Kab. Bone Bolango
D78|Kab. Pohuwato
D79|Kab. Boalemo
D8|Kab. Aceh Besar
D80|Kab. Gorontalo Utara
D81|Kab. Gorontalo
D82|Kota Gorontalo
D83|Provinsi Jambi
D84|Kab. Sarolangun
D85|Kab. Batanghari
D86|Kab. Kerinci
D87|Kab. Muaro Jambi
D88|Kab. Tanjung Jabung Barat
D89|Kota Jambi
D9|Kab. Aceh Jaya
D90|Kab. Merangin
D91|Kota Sungai Penuh
D911|Kab. Penukal Abab Lematang Ilir
D92|Kab. Tebo
D93|Kab. Tanjung Jabung Timur
D94|Kab. Bungo
D95|Provinsi Jawa Barat
D96|Kab. Indramayu
D97|Kota Depok
D98|Kab. Karawang
D99|Kota Bandung
I100|Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam (984423)
I103|Universitas Pendidikan Indonesia
I105|Institut Teknologi Sepuluh Nopember
I106|Universitas Sumatera Utara
I108|Universitas Hasanuddin
I111|Universitas Sebelas Maret
I117|Universitas Syiah Kuala
I120|Universitas Sriwijaya
I122|Universitas Negeri Jakarta
I123|Universitas Negeri Yogyakarta
I81|Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam
I82|Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Sabang
I98|Komite Olah Raga Nasional Indonesia
I99|Satuan Kerja Khusus Pelaksana Kegiatan Hulu Minyak dan Gas Bumi
K1|Kementerian Agama
K10|Kementerian Keuangan
K13|Kementerian Koordinator Bidang Perekonomian
K17|Kementerian Luar Negeri
K2|Kementerian Badan Usaha Milik Negara
K20|Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak
K21|Kementerian Pemuda Dan Olah Raga
K22|Kementerian Pendayagunaan Aparatur Negara Dan Reformasi Birokrasi
K24|Kementerian Perdagangan
K25|Kementerian Perencanaan Pembangunan Nasional
K26|Kementerian Perhubungan
K27|Kementerian Perindustrian
K28|Kementerian Pertahanan
K29|Kementerian Pertanian
K3|Kementerian Dalam Negeri
K32|Kementerian Sekretariat Negara
